품목,시도,시군구,k2,적정온도,경고임계,위험임계,결실개시년,경제수명년,현재재배면적_ha,현재단수_kg_ha,현재단가_원kg,시나리오,중심연도,생육기기온,편차,판정,저온요구도
밤,경북,의성군,의성,19.7,1.3,2.0,5,30,26.7,160.0,3384.0,ssp585,2038,21.58,1.88,주의,1379
밤,경북,의성군,의성,19.7,1.3,2.0,5,30,26.7,160.0,3384.0,ssp585,2048,22.28,2.58,위험,1294
밤,경북,의성군,의성,19.7,1.3,2.0,5,30,26.7,160.0,3384.0,ssp585,2058,23.08,3.38,위험,1208
밤,경북,의성군,의성,19.7,1.3,2.0,5,30,26.7,160.0,3384.0,ssp585,2068,23.93,4.23,위험,1090
밤,경북,의성군,의성,19.7,1.3,2.0,5,30,26.7,160.0,3384.0,ssp585,2078,24.78,5.08,위험,987
밤,경남,함안군,함안,19.7,1.3,2.0,5,30,8.1,1137.0,3250.0,관측,2005,20.11,0.41,경고,1350
밤,경남,함안군,함안,19.7,1.3,2.0,5,30,8.1,1137.0,3250.0,ssp245,2028,22.0,2.3,위험,1180
밤,경남,함안군,함안,19.7,1.3,2.0,5,30,8.1,1137.0,3250.0,ssp245,2038,22.53,2.83,위험,1135
밤,경남,함안군,함안,19.7,1.3,2.0,5,30,8.1,1137.0,3250.0,ssp245,2048,23.01,3.31,위험,1092
밤,경남,함안군,함안,19.7,1.3,2.0,5,30,8.1,1137.0,3250.0,ssp245,2058,23.47,3.77,위험,1055
밤,경남,함안군,함안,19.7,1.3,2.0,5,30,8.1,1137.0,3250.0,ssp245,2068,23.83,4.13,위험,1027
밤,경남,함안군,함안,19.7,1.3,2.0,5,30,8.1,1137.0,3250.0,ssp245,2078,24.22,4.52,위험,980
밤,경남,함안군,함안,19.7,1.3,2.0,5,30,8.1,1137.0,3250.0,ssp585,2028,22.19,2.49,위험,1188
밤,경남,함안군,함안,19.7,1.3,2.0,5,30,8.1,1137.0,3250.0,ssp585,2038,22.89,3.19,위험,1113
밤,경남,함안군,함안,19.7,1.3,2.0,5,30,8.1,1137.0,3250.0,ssp585,2048,23.68,3.98,위험,1031
밤,경남,함안군,함안,19.7,1.3,2.0,5,30,8.1,1137.0,3250.0,ssp585,2058,24.56,4.86,위험,950
밤,경남,함안군,함안,19.7,1.3,2.0,5,30,8.1,1137.0,3250.0,ssp585,2068,25.46,5.76,위험,832
밤,경남,함안군,함안,19.7,1.3,2.0,5,30,8.1,1137.0,3250.0,ssp585,2078,26.35,6.65,위험,731
밤,경북,김천시,김천,19.7,1.3,2.0,5,30,11.4,709.0,3400.0,관측,2005,19.89,0.19,경고,1337
밤,경북,김천시,김천,19.7,1.3,2.0,5,30,11.4,709.0,3400.0,ssp245,2028,21.58,1.88,주의,1164
밤,경북,김천시,김천,19.7,1.3,2.0,5,30,11.4,709.0,3400.0,ssp245,2038,22.04,2.34,위험,1120
